case_number,source,prompt,evaluation_seed,celebrity
78748,mscoco,A group of motorcycles on display for a crowd.,99949,
267684,mscoco,Two people with skis are skiing on the snow.,70635,
96625,mscoco,A man is performing a trick on skis.,93109,
236874,mscoco,A young man wearing a catchers mitt on top of a baseball field.,20480,
411201,mscoco,A large two level bus near a tall structure.,36346,
33753,mscoco,A wooden park bench with a remote control on top of it.,48381,
421370,mscoco,A man on a motorcycle going down the street.,39841,
548538,mscoco,A black train car with a group of men standing on the back of it.,48314,
402027,mscoco,A giraffe standing next to some trees in a field.,17963,
295420,mscoco,A blue truck drives down a narrow street.,94823,
145562,mscoco,a small toys with so many people in it,19101,
392967,mscoco,A baseball player in a white and black uniform holds onto a black bat as a ball is in mid air in front of him.,52181,
52661,mscoco,Traffic on a dock next to a moored sailing ship.,9758,
320020,mscoco,A small black and white dog with the wind blowing through it's hair.,50623,
472610,mscoco,A woman is posing for a picture with her dog in front of cows.,81860,
292236,mscoco,A couple of men standing next to train tracks.,4817,
419848,mscoco,A hot dog and a bowl on a table.,30198,
268375,mscoco,A herd of gray elephants standing next to each other on a block of cement.,24653,
161925,mscoco,two women are cutting and preparing a pizza,14281,
334077,mscoco,A man bending over a pile of umbrellas sitting on a sidewalk.,85308,
493613,mscoco,A pair of shoes flips over a skateboard on a road.,40387,
541223,mscoco,a glass building with a plane coming out of it,65473,
249325,mscoco,A man sitting on a bench next to pigeons holding a news paper.,8104,
499428,mscoco,A large red double decker bus traveling down a road.,50762,
436511,mscoco,Tourists watching a man running with horned sheep down a dirt road,16090,
42279,mscoco,Two zebra standing next to each other near a forest.,25948,
434786,mscoco,an image of a man with a cigarette in his mouth,93471,
358629,mscoco,A man in the kitchen is doing his job.,83555,
346717,mscoco,A man flying through the air while riding a skateboard.,85847,
431967,mscoco,A white bathroom sink sitting under a window.,75371,
303672,mscoco,Three different electronic devices sitting on a brown table.,92082,
397318,mscoco,A group of people sitting at a table with plates and soda.,75338,
