case_number,source,prompt,evaluation_seed,celebrity
33750,mscoco,A bike with a covered seat sitting next to a park.,465,
33751,mscoco,A man shields his face as he uses a computer while sitting on the toilet.,136,
33752,mscoco,A group of people are standing at a street corner,526,
33753,mscoco,Bathroom view of a sink and shower with glass door.,426,
33754,mscoco,a bicycle parked on the sidewalk next to a white building,468,
33755,mscoco,A server is standing behind the bar of an eclectic diner while texting.,578,
33756,mscoco,There is a sink and a toilet in a small bathroom.,60,
33757,mscoco,A white bathroom sink sitting under a mirror.,573,
33758,mscoco,a white food mixer in a home kitchen,474,
33759,mscoco,"A clean, organized bathroom with a sink and bathtub.",689,
33760,mscoco,a male in a white coat bottles and black gloves,827,
33761,mscoco,"A cell phone sitting on a wooden table, beside a keyboard.",316,
33762,mscoco,Woman in cowboy boots prepares a meal in her kitchen,741,
33763,mscoco,A group of wine glasses and bottles on a table and in a bucket.,23,
33764,mscoco,"A bathroom with a sink, mirror, and other bathroom items.",406,
33765,mscoco,A bathroom double vanity and tub with a chandelier above and intricate tile work.,261,
33766,mscoco,Red pickup truck carrying a sign it its truck bed.,837,
33767,mscoco,A man in surfing in a swim suit.,4,
33768,mscoco,A picture of a bathroom under construction from the doorway.,764,
33769,mscoco,Kitchen ware sitting behind the counter top at a restaurant.,224,
33770,mscoco,A kitchen looks like something got into the trash.,593,
33771,mscoco,A child's kitchen filled with baby furniture and counters.,75,
33772,mscoco,A woman standing on top of some steps.,47,
33773,mscoco,A large group of people are at the beach with their dogs,434,
33774,mscoco,This is a very small blue tiled bathroom with a toilet and shower,353,
33775,mscoco,A woman is cleaning glassware in the kitchen.,718,
33776,mscoco,Two men are having a conversation while a dog looks on.,66,
33777,mscoco,Couple on their bicycles exercising their small dog,555,
33778,mscoco,There are many different kinds of copper pots here.,62,
33779,mscoco,young man with folded arms standing in the kitchen,958,
33780,mscoco,A white toilet sitting next to a bath tub and a sink.,916,
33781,mscoco,a woman standing in the kitchen and yelling at someone,71,
33782,mscoco,A large group of people on scooters on the road.,957,
33783,mscoco,a man in a kitchen and holding a pot,484,
33784,mscoco,a kitchen with stuff on the counters being lived in,33,
33785,mscoco,the bathroom is a tub that is pink,294,
33786,mscoco,some stop and go lights and a yellow fire hydrant,419,
33787,mscoco,A man watching a child run after a soccer ball in the drive way.,185,
33788,mscoco,A BATHROOM MIRROR AND SINK IN A BATHROOM.,788,
33789,mscoco,A girl standing in the kitchen in front of the stove with a cup in hand.,139,
33790,mscoco,"A man dressed in snow apparel and sunglasses, on a snowboard going down a slope.",785,
33791,mscoco,A pot filled with food boiling in water.,657,
33792,mscoco,six people on a bus at night time,747,
33793,mscoco,A group of people playing a game of frisbee on a field.,662,
33794,mscoco,On the kitchen counter a variety of utensils are held in ceramic ware.,987,
33795,mscoco,A shop vac is sitting in a tub where a wall has been cut out.,431,
33796,mscoco,A small bathroom with a blue toilet and a white vanity and black and white tiles.,384,
