case_number,source,prompt,evaluation_seed,celebrity
41250,mscoco,A white toilet that is in a bathroom.,814,
41251,mscoco,A city street with vehicles driving and parked.,213,
41252,mscoco,"A bathroom with a toilet, sink, bathtub, and scale.",807,
41253,mscoco,A kitchen counter with a built in dishwasher at a large window.,702,
41254,mscoco,limo driver in a black suit standing outside of a limo,83,
41255,mscoco,Woman standing in a parking lot with a pink bicycle,636,
41256,mscoco,A kitchen area with sink and wooden counters.,902,
41257,mscoco,A black cat laying under a silver car in a driveway.,344,
41258,mscoco,A female feeds a man on the runway while an audience looks on.,754,
41259,mscoco,There is a baby playing with a cat's food,955,
41260,mscoco,A woman with a oil jug leaving a kitchen.,57,
41261,mscoco,a kid using a spoon eating from a plate,528,
41262,mscoco,three photos of two girls laying in a bed making funny faces,969,
41263,mscoco,A kitchen filled with a stove top oven and two stools.,932,
41264,mscoco,"ted, a guy, and girl sitting on a couch drinking.",691,
41265,mscoco,Two mean wearing diving gear next to air tanks on a  boat.,373,
41266,mscoco,A double white sink in a bathroom with a large mirror,910,
41267,mscoco,A cat sitting in a car looks to the back,53,
41268,mscoco,"A bathroom has a tub, toilet, and sink in it.",114,
41269,mscoco,Woman in a public bathroom turning on the sink.,393,
41270,mscoco,A big bath room with three different sinks in it .,375,
41271,mscoco,A porcelain toilet in a bathroom with tile walls.,477,
41272,mscoco,A kitchen has a small stove and counter space.,634,
41273,mscoco,"Many identical bikes, blue and red, are parked in front of the wooden doors of a building.",42,
41274,mscoco,A young boy using a pair of green handled scissors.,375,
41275,mscoco,A small bathroom is being cleaned with a spray and towels.,376,
41276,mscoco,A person walking outside in the rain with a green umbrella.,180,
41277,mscoco,The two cooks are cooking on the grill.,664,
41278,mscoco,A white sink sitting next to a bath tub in a bathroom.,573,
41279,mscoco,A couple of men standing on a boat going through a river.,722,
41280,mscoco,A person holding an identification card and a pair of scissors.,69,
41281,mscoco,A plane is traveling people in the blue water.,575,
41282,mscoco,Several people sitting at wooden tables at an outdoor restaurant,727,
41283,mscoco,The kitchen cabinets have wine glasses on top of them.,793,
41284,mscoco,A kitchen with a large stove with various pots and pans hanging on the wall.,210,
41285,mscoco,An open  kitchen with skylights and hanging lights,142,
41286,mscoco,a woman sitting in a car with a black and white cat,343,
41287,mscoco,there so many computers and many people are using them,245,
41288,mscoco,A black and white cat hiding underneath a car.,553,
41289,mscoco,a very large mirror in a very nice room,117,
41290,mscoco,The motorcycle riders visit the site with several flags.,665,
41291,mscoco,an old car sitting on the side of the road,490,
41292,mscoco,A bird that is standing on a car mirror.,756,
41293,mscoco,a person on a bike looks over a bridge,962,
41294,mscoco,A man standing in the doorway of a large kitchen.,771,
41295,mscoco,Man on skateboard balancing on street with crowd,595,
41296,mscoco,There is a basket of fruit on a counter,893,
41297,mscoco,A picture of a ski lodge with information boards in the background.,983,
41298,mscoco,Horses in a penn standing next to each other.,720,
41299,mscoco,A man on a bed reading a book wearing a hat.,215,
41300,mscoco,"A living area with a bicycle, bed and desk with computer.",772,
41301,mscoco,"A room with a bed, lamp, pictures on the wall and a chair in it.",763,
41302,mscoco,A cat sitting on the ground next to a bike.,780,
41303,mscoco,A skier walking downhill in the snow-capped mountains,231,
41304,mscoco,A demonstration of a well maintained hotel bathroom,329,
41305,mscoco,"A bathroom with a white tub, toilet, and sink.",362,
41306,mscoco,a laptop oin a kitchen counter with experiments going on,920,
41307,mscoco,A white bathroom that is very well kept,274,
41308,mscoco,A picture of a modern looking empty kitchen.,516,
41309,mscoco,A couple dressed up and posing for a picture.,697,
41310,mscoco,A BATHROOM WITH A MAKE SHIFT SHOWER CURTAIN,434,
41311,mscoco,a cat is sitting under the car by the tire,284,
41312,mscoco,A woman stands near a stove and cooks food in a skillet,56,
41313,mscoco,"A kitchen with refrigerator, cabinet, sink and microwave.",65,
41314,mscoco,a clean kitchen with white cabinets and black appliances,382,
41315,mscoco,"Galley kitchen showing window, sink, refrigerator and stove.",354,
41316,mscoco,"A person holding a ski and ski pole, standing in the snow.",464,
41317,mscoco,A group of people outside in the daytime.,498,
41318,mscoco,A woman on a bicycle talking on a cell phone.,514,
41319,mscoco,A group sitting around a table with various food.,540,
41320,mscoco,some bikes parked on a boat on water,850,
41321,mscoco,A little girl sitting in a bathroom in front of a mirror.,126,
41322,mscoco,This man was given a homemade chocolate cake for his birthday,482,
41323,mscoco,A man rides his bike in the flood water while holding an umbrella,727,
41324,mscoco,The young child is fighting with his mother in the kitchen.,545,
41325,mscoco,Two people wearing helmets and cycling suits ride a large motorcycle with a storage compartment behind it,695,
41326,mscoco,A very clean kitchen that is in a house.,846,
41327,mscoco,this is a man on a bike in the woods,546,
41328,mscoco,A very large kitchen has a green checkered roof and door.,922,
41329,mscoco,A bathroom with a sink and mirror is shown through the door way.,300,
41330,mscoco,Three men are walking through a parking lot.,463,
41331,mscoco,A woman standing next to a baby on a stool at the kitchen counter.,636,
41332,mscoco,Double sink  and mirrored lighted area with cabinets.,377,
41333,mscoco,The interior of a bathroom with shower and sink.,820,
41334,mscoco,"a woman sitting on a horse,in a open field.",690,
41335,mscoco,A man is taking a picture in a bathroom mirror.,969,
41336,mscoco,A person wearing a helmet sitting on a park bench with a bicycle leaning  on the side.,710,
41337,mscoco,Clean and white bathroom with bath in farthest corner.,829,
41338,mscoco,a kitchen with a stove and a white dinette set,964,
41339,mscoco,An image of a sink and window with some items placed on top of the sink.,905,
41340,mscoco,a man that is walking across a concrete pad,68,
41341,mscoco,"A kitchen with a stove, refrigerator and cabinets.",193,
41342,mscoco,a white counter top in a home kitchen,914,
41343,mscoco,Chefs in a large industrial kitchen preparing food.,906,
41344,mscoco,A boy holding spoons over a pan filled with food.,469,
41345,mscoco,The bathroom on the airplane is clean and ready to use.,90,
41346,mscoco,A bathroom with tiled walls has a window and toilet.,83,
41347,mscoco,an image of bathroom setting with peach decor,401,
41348,mscoco,A cat looking at the kitchen sink on the counter.,920,
41349,mscoco,A woman is holding a bike sitting on a bench.,184,
41350,mscoco,A bathroom with a bedae and a stained glass window.,296,
41351,mscoco,A chef preparing meals in an industrial kitchen,982,
41352,mscoco,A woman standing in front of a full length mirror taking a selfie in a public bathroom,980,
41353,mscoco,A dog is playing with a dog toy on the floor.,79,
41354,mscoco,A lady with a white cat on her shoulder.,112,
41355,mscoco,"A toilet bowl is away from the wall, sitting in the middle of the restroom",169,
41356,mscoco,A man riding a bike with another man next to him.,283,
41357,mscoco,A woman walks her small dog near a fountain.,115,
41358,mscoco,Bananas are simmering in a pan in a sauce.,714,
41359,mscoco,"A bathroom white sink, toilet and shower, looks clean.",152,
41360,mscoco,Two people are riding a red motor scooter.,509,
41361,mscoco,A view of a very dirty bathroom that needs to be cleaned.,155,
41362,mscoco,A woman sitting at a kitchen counter next to a dog.,896,
41363,mscoco,A silver and clear drink container with a black tray of fruit next to it.,210,
41364,mscoco,The man is riding the motorcycle is the road,534,
41365,mscoco,A man riding his bike past a young beach goer.,975,
41366,mscoco,A cat in a room prepared for renovation.,643,
41367,mscoco,the woman is pulling foil out of a container,24,
41368,mscoco,Rear view of two male surfers in top-down wetsuits riding bicycles and holding surfboards.,301,
41369,mscoco,This is a new kitchen with a new stove,427,
41370,mscoco,Two women conversing near a kitchen island with black countertops.,993,
41371,mscoco,A boy and his parent on bikes preparing to go for a ride.,699,
41372,mscoco,A young man flying through the air while riding a skateboard.,555,
41373,mscoco,A pretty woman riding a bike next to a small shop.,955,
41374,mscoco,A very narrow and cramped rest room with pretty tile walls.,136,
41375,mscoco,A man holds a bicycle and poses with his dog in a vintage photo.,486,
41376,mscoco,Wooden table set up with vintage kitchen tools placed around it,356,
41377,mscoco,An older person sitting on a bench in a park playing a game in a magazine.,431,
41378,mscoco,A bike parked in a parking space next to a wall.,455,
41379,mscoco,A cat that is laying down on top of a car.,756,
41380,mscoco,"an all white bathroom scene with the sink and bathtub in frame, the man who takes the pictures reflection in the mirror",661,
41381,mscoco,A circular window is in a spa like room.,22,
41382,mscoco,A counter is lined with dishes waiting to be washed.,299,
41383,mscoco,"The bathroom space is small, but functional with shelving for storage.",194,
41384,mscoco,bicycle locked to a pole next to a cat on the side walk,65,
41385,mscoco,A man in blue shirt standing by a brown and black dog.,23,
41386,mscoco,Some people are handing down a bicycle off a car.,893,
41387,mscoco,Several people in the street with buildings on either side and bright pedestrian sign above.,822,
41388,mscoco,A wall mounted mirror underneath a light fixture.,238,
41389,mscoco,A surfer takes a wide stance as he rides a wave.,855,
41390,mscoco,A group of friends having drinks on an outdoor table.,971,
41391,mscoco,A woman sitting in a small tub of water.,533,
41392,mscoco,Many kites hanging off the side of a pole.,661,
41393,mscoco,A counter with several cups in a room.,344,
41394,mscoco,A toilet is in a bathroom with an open door.,422,
41395,mscoco,A man riding a bike past another man without a shirt.,593,
41396,mscoco,A person on a bicycle in the rain holding an umbrella.,352,
41397,mscoco,Large group of people standing in a crowd while some of them take pictures.,672,
41398,mscoco,"A very neat, white bathroom with a large mirror on the wall.",662,
41399,mscoco,A three story white building with cars parked on the street in front of it.,806,
41400,mscoco,A man and woman tend a table of bananas.,335,
41401,mscoco,A man in a wet suit riding a surfboard in water.,498,
41402,mscoco,A large kitchen with black appliances and a large counter top.,608,
41403,mscoco,A kitchen with tile flooring and white kitchen appliances.,682,
41404,mscoco,A table has a plant next to the glass doorway in the kitchen.,714,
41405,mscoco,A white sink under a mirror and red walls.,543,
41406,mscoco,Three woman are having a discussion in the kitchen.,863,
41407,mscoco,a kitchen with a small fridge and brown cupboards,562,
41408,mscoco,"A kitchen with a stove, oven and counter in it.",456,
41409,mscoco,A white kitchen is shown with a fruit bowl on the table.,469,
41410,mscoco,"Some hooks on a wall holding some thongs, scissors, and keys.",312,
41411,mscoco,People stand in a museum and look at a large airplane.,581,
41412,mscoco,cooks prepare potatoes by cutting them before putting them in bin,136,
41413,mscoco,The large kitchen has a marble counter and wooden cabinets.,920,
41414,mscoco,A bicycle technician adjusts the spokes on this wheel,809,
41415,mscoco,A very small bathroom that has some towels on the ground.,314,
41416,mscoco,a small strip mall with a few cars in the parking lot,176,
41417,mscoco,a person on a boat with his feet in the water,809,
41418,mscoco,Pitchers and canisters on a shelf in the kitchen.,267,
41419,mscoco,A cat sitting in front of a bike tire,233,
41420,mscoco,a kitchen a table some chairs a stove and some pots and pans,496,
41421,mscoco,A man walking down the aisle of a bus filled with bicycles.,381,
41422,mscoco,People climbing up stairs to board an airplane,995,
41423,mscoco,Artwork on sidewalk outside city building showing female caricature rider.,296,
41424,mscoco,Three people are in the kitchen around a black table.,789,
41425,mscoco,A kitchen with wood cabinets and granite counter tops.,866,
41426,mscoco,A man riding a kid's bike while the kid chases him.,49,
41427,mscoco,A large white bathroom with a very big shower.,152,
41428,mscoco,An old bicycle tied to a post outside a shop.,362,
41429,mscoco,A traffic light sitting over a street under a cloudy sky.,292,
41430,mscoco,"A large kitchen features a wood floor, white appliances and brown cabinets.",467,
41431,mscoco,A bicyclist riding down the street with an umbrella attached to the bicycle.,980,
41432,mscoco,A white teddy bear is laying on a bed in a dimly lit room.,171,
41433,mscoco,A dog seemingly waits patiently in the dining room,634,
41434,mscoco,A repair man is fixing the cabinet in the kitchen,947,
41435,mscoco,a lady that is standing next to a bike,165,
41436,mscoco,A man holding a white frisbee standing next to another man.,729,
41437,mscoco,The bathroom is decorated in a modern way.,549,
41438,mscoco,A woman holding a knife while cutting something on a cutting board.,293,
41439,mscoco,Two people working in a small kitchen preparing a meal.,187,
41440,mscoco,An old bathroom in the state of remodeling.,997,
