case_number,source,prompt,evaluation_seed,celebrity
26250,mscoco,Two young men playing a game of soccer.,10852,
26251,mscoco,The donut robot machine is mechanically making donuts.,62519,
26252,mscoco,A man holds a surfboard at the beach.,39304,
26253,mscoco,Tennis player about to hit the ball back to opponent.,81753,
26254,mscoco,"A pastry meal sitting on a trey next to a bottle of orange soda,",90443,
26255,mscoco,A woman checking out her surfboard at the beach.,73984,
26256,mscoco,A couple of glazed donuts on a plate.,40166,
26257,mscoco,A man changes a light bulb in a darkened bar.,30601,
26258,mscoco,a cake with pineapples and cherries on the top of it.,86845,
26259,mscoco,A pair of small dogs lying on a bed.,3505,
26260,mscoco,A delicious looking bunt cake on a table next to fruit.,42727,
26261,mscoco,There is a table set with a sandwich and the remainder of a drink.,3726,
26262,mscoco,a woman holding a birthday cake filled with lit candles.,95574,
26263,mscoco,a cake decorated with trees and a river,16146,
26264,mscoco,A snow boarder riding down a snow covered summit.,7003,
26265,mscoco,Children's room with a bed and a small crib with stuffed toys on the ground.,29537,
26266,mscoco,A red surfboard is sticking up from the ocean waves.,92379,
26267,mscoco,A man pointing at a hand held pizza.,47428,
26268,mscoco,A man holding a pizza paddle taking a pizza out of an outdoor oven,21725,
26269,mscoco,A young man hits a tennis ball while wearing a helmet.,20743,
26270,mscoco,"A plate with a vegetable filled pita sandwich, french fries and tartar sauce.",6247,
26271,mscoco,A woman holds up a book as she attempts to read in bed.,37388,
26272,mscoco,A square pizza being cut into pieces by the pizza maker,60130,
26273,mscoco,"Two tennis players, walking in opposite directions in between plays.",64698,
26274,mscoco,Kids enjoying the skateboard park on a sunny day,24509,
26275,mscoco,A hot dog with red peppers as a topping.,22554,
26276,mscoco,A group of friends playing a motion controlled video game,93993,
26277,mscoco,"A small pizza with cheese, sauce and vegetables.",7776,
26278,mscoco,A man holding a half eaten chocolate donut,79111,
26279,mscoco,A young woman falls while surfing in the ocean.,20473,
26280,mscoco,Women on a tennis court playing tennis.,31771,
26281,mscoco,A man holding a surf board on a beach.,56284,
26282,mscoco,"A large sandwich on a plate, with a small bowl of potato salad.",60807,
26283,mscoco,Two men check a white surfboard on a bench.,72118,
26284,mscoco,A stereo sitting on a metal shelf next to a bright light.,91871,
26285,mscoco,A blanket covered bed sitting under a bedroom window.,45993,
26286,mscoco,Man standing in front of the ocean in a wet suit with a surf board.,53902,
26287,mscoco,A father and son ride waves while using a body board in the ocean.,87114,
26288,mscoco,A snow boarder riding a ski lift up a snow covered ski slople,21044,
26289,mscoco,A cook book for making donuts with donuts and coffee pictures on it's cover.,24524,
26290,mscoco,A woman taking a picture of her lunch at a restaurant.,37794,
26291,mscoco,Three young men playing Wii on a projection television.,78150,
26292,mscoco,A sesame seed bagel with a filling is cut in half on a plate.,5655,
26293,mscoco,There are meats and vegetables on a flatbread,47029,
26294,mscoco,There are dental care supplies on a table,18206,
26295,mscoco,A man sitting on the beach behind his surfboard.,7340,
26296,mscoco,A very large doughnut  sits atop a building as an advertisement.,32301,
26297,mscoco,A young man riding a wave on his surf board.,71087,
26298,mscoco,A fast food lunch with a side of fries.,10499,
26299,mscoco,An adorable child wading in water while holding onto a boogie board.,27330,
26300,mscoco,A baby sitting in a bathtub getting their teeth brushed.,21354,
26301,mscoco,A young person becoming airborne while riding a snow board.,66773,
26302,mscoco,A bedroom decorated with a blue underwater theme.,46159,
26303,mscoco,A snowboarder is in the air against the blue sky.,60712,
26304,mscoco,Two snowboards attached to feet above snow and trees.,1178,
26305,mscoco,Hand reaching for one of the doughnuts on the table.,65959,
26306,mscoco,A man with tongs in front of hot dogs and buns.,48137,
26307,mscoco,A female surfer rides the waves in the ocean.,88448,
26308,mscoco,a tennis player who has just made a shot.,55540,
26309,mscoco,Three cats resting on a blanket covered bed next to a shoe rack.,18337,
26310,mscoco,Modern bed placed next to clear glass night stand.,79778,
26311,mscoco,Donuts and pies sit in a display case.,88977,
26312,mscoco,A chili cheese dog with french fries on a plate.,32478,
26313,mscoco,A living room with a large green couch and office desk.,6215,
26314,mscoco,The young men are standing behind a barrier with their surfboards.,2962,
26315,mscoco,A young man riding a rail down some stairs on a skateboard.,2417,
26316,mscoco,A sandwich is cut in half and sitting on it's wrapper.,7749,
26317,mscoco,A man and woman bathe in a shallow river.,33322,
26318,mscoco,A round cake decorated for Christmas with penguins and fir trees.,22410,
26319,mscoco,A coffee cup filled with different colored tooth brushes.,68014,
26320,mscoco,An adorable baby under a blanket in a crib.,48495,
26321,mscoco,A young man reaches for a basketball on a court.,73562,
26322,mscoco,A woman taking a swing at a ball on a tennis court.,92879,
26323,mscoco,A man standing on a tennis court holding a tennis racquet.,91001,
26324,mscoco,A car with open doors is towing boating equipment.,51934,
26325,mscoco,Two tennis players consult with the referee during a tennis match.,12613,
26326,mscoco,A boy smiles next to a birthday cake.,68743,
26327,mscoco,Three men standing on a mountain holding a snowboard.,42610,
26328,mscoco,Baby brushing teeth while sitting on a toilet.,44663,
26329,mscoco,A group of surfboards laying on the beach with a person carrying a surfboard back from the water.,80774,
26330,mscoco,A bed with lots of pillows under a picture hanging on a wall.,80096,
26331,mscoco,A freshly baked pizza sitting on a cutting board while being cut.,2713,
26332,mscoco,A table full of pizzas delivered by Dominoes.,16445,
26333,mscoco,A young man riding a surf board on some waves.,28320,
26334,mscoco,A partially eaten sandwich with steak and onions.,73026,
26335,mscoco,This is a wall to hold dental tools.,61490,
26336,mscoco,A bedroom with a bed and chair along with a nightstand with lamp on top of it.,62142,
