case_number,source,prompt,evaluation_seed,celebrity
0,mscoco,A bicycle replica with a clock as the front wheel.,41337,
1,mscoco,A black Honda motorcycle parked in front of a garage.,63155,
2,mscoco,A room with blue walls and a white sink and door.,78978,
3,mscoco,A car that seems to be parked illegally behind a legally parked car,19959,
4,mscoco,A large passenger airplane flying through the air.,86628,
5,mscoco,"A bathroom with a toilet, sink, and shower.",10030,
6,mscoco,"A long empty, minimal modern skylit home kitchen.",65989,
7,mscoco,An office cubicle with four different types of computers.,48295,
8,mscoco,A bathroom sink with toiletries on the counter.,82318,
9,mscoco,A small closed toilet in a cramped space.,33826,
10,mscoco,Two women waiting at a bench next to a street.,52484,
11,mscoco,This is an open box containing four cucumbers.,51519,
12,mscoco,An old-fashioned green station wagon is parked on a shady driveway.,17242,
13,mscoco,A gas stove next to a stainless steel kitchen sink and countertop.,39503,
14,mscoco,Several motorcycles riding down the road in formation.,59719,
15,mscoco,A black cat is inside a white toilet.,94308,
16,mscoco,A man in a wheelchair and another sitting on a bench that is overlooking the water.,8445,
17,mscoco,A man sits with a traditionally decorated cow,17487,
18,mscoco,Rows of motor bikes and helmets in a city,62115,
19,mscoco,A cute kitten is sitting in a dish on a table.,62693,
20,mscoco,A man getting a drink from a water fountain that is a toilet.,46111,
21,mscoco,A beautiful dessert waiting to be shared by two people,26502,
22,mscoco,A person holding a skateboard overlooks a dead field of crops.,53235,
23,mscoco,A bathroom with a sink and shower curtain with a map print.,20618,
24,mscoco,A random plane in the sky flying alone,95749,
25,mscoco,A brown and black horse in the middle of the city eating grass.,82701,
26,mscoco,A brown purse is sitting on a green bench.,77506,
27,mscoco,Half of a white cake with coconuts on top.,90351,
28,mscoco,An old toilet with a hello kitty cover top.,97789,
29,mscoco,Office space with office equipment on desk top.,11131,
30,mscoco,Two husky's hanging out of the car windows.,54741,
31,mscoco,The back door with a window in the kitchen.,78518,
32,mscoco,Jet liner flying off into the distance on an overcast day,27989,
33,mscoco,A cat eating a bird it has caught.,53479,
34,mscoco,A woman is walking a dog in the city.,60951,
35,mscoco,A tiny bathroom with only a toilet and a shelf.,48267,
36,mscoco,A little girl in a public bathroom for kids.,10953,
