case_number,source,prompt,evaluation_seed,celebrity
7500,mscoco,A man wearing a t-shirt stands in the door way of a white bus.,57519,
7501,mscoco,Two adult sheep lay on the green grass.,52972,
7502,mscoco,A traffic sign sitting next to a sidewalk on a street.,91779,
7503,mscoco,A green an White train car traveling past a road filled with heavy traffic.,9390,
7504,mscoco,A red bus parked in front of a building on the side of a street.,949,
7505,mscoco,A little boy wearing a hat and leather boots.,33397,
7506,mscoco,A black cat wearing a tin foil hat looking off into the distance.,67391,
7507,mscoco,A group of people walking across a crosswalk.,37659,
7508,mscoco,A pizza restaurant sign sitting up against a brick wall.,88179,
7509,mscoco,a bird with a foot on the top of a pole,32271,
7510,mscoco,Two giraffe standing next to each other on a grass covered field.,50899,
7511,mscoco,A bench sitting on the beach near the ocean.,75624,
7512,mscoco,A wooden bench with a black box on top of it.,26531,
7513,mscoco,A small her of sheep gathered on a lawn in front of a large building in the city.,59350,
7514,mscoco,A giraffe standing next to a pile of dead wood.,96955,
7515,mscoco,A wooden bench sitting near a group of buildings.,76319,
7516,mscoco,A red fire hydrant sitting on a sidewalk next to a street.,68705,
7517,mscoco,A group of people standing around a red stop sign.,51338,
7518,mscoco,A bus traveling down a curvy road behind a black car.,74879,
7519,mscoco,A bench next to a stone wall and a dirt road.,5354,
7520,mscoco,A green and white bus pulling into a bus stop.,73625,
7521,mscoco,A white and red traffic sign on top of a metal pole.,92276,
7522,mscoco,A man riding a brown horse in uniform next to tall green trees.,6411,
7523,mscoco,"A stop sign posted in a foreign language
",63142,
7524,mscoco,A large flock of black birds in flight.,36643,
7525,mscoco,A black and white picture of a stop sign.,48422,
7526,mscoco,A train pulling into a train station next to a tall building.,21220,
7527,mscoco,A white bicycle parked next to a brown brick wall.,26911,
7528,mscoco,A single giraffe looks over the green brush.,53458,
7529,mscoco,A city bus is parked along the side of a street.,80377,
7530,mscoco,A large group of sheep in a grassy field.,69090,
7531,mscoco,A freeway sign at freeway entrance detailing 3 freeway options.,41771,
7532,mscoco,"A close up of a country sign, the picture is a personified bus that is freaking out because it is about to hit a biker, and the sign below reads 'danger traversee de route'.",10366,
7533,mscoco,A wooden post showing different paths to be taken,93566,
7534,mscoco,A city bus driving down a city street,90740,
7535,mscoco,Two birds looking at their reflections in side mirror,75044,
7536,mscoco,Three white sheep traveling down a paved residential street.,80416,
7537,mscoco,A street signal with a smiling face for the green light.,8166,
7538,mscoco,A yellow pickup truck stopped at an intersection,52531,
7539,mscoco,A bird sits perched on the edge of an umbrella. ,46744,
7540,mscoco,A black and yellow bird with a colorful beak,54412,
7541,mscoco,a bird standing on a tree limb next to its nest,9124,
7542,mscoco,The four pink sheep are moving away from each other.,10948,
7543,mscoco,A pair of shoes sits on a bench next to a door. ,95046,
7544,mscoco,A wooden bench surrounded by weeds has a dedication plaque,96877,
