case_number,source,prompt,evaluation_seed,celebrity
290261,mscoco,A train going down the tracks that has just gone under a bridge.,57454,
24921,mscoco,A small white boat floating on top of a river.,73132,
974,mscoco,An elephant with a man and three children on its back drinking water in the jungle.,93992,
431256,mscoco,A man on a snowboard in the mountains.,32171,
265001,mscoco,"A couple of birds sitting on a tree, with a blurry background.",96270,
425578,mscoco,A shack with a  floor covered with dirt and straws.,73292,
162685,mscoco,A group of people standing in a bathroom while man puts on a tie.,27194,
64196,mscoco,A woman standing at a table preparing food.,92636,
70870,mscoco,A lone woman stands at an empty train station.,74666,
121242,mscoco,A horse drawn carriage parked on top of a field.,96429,
23899,mscoco,Three young men playing Wii on a projection television.,78150,
468525,mscoco,a large plane is taking off near a field,87448,
306931,mscoco,a baseball catcher is walking with his glove on,54331,
557829,mscoco,Female snowboarder in the motion of landing on a log on a snow course.,51165,
132703,mscoco,A man who is performing a trick on a skateboard.,44929,
69106,mscoco,Three zebras standing in front of a wall.,80932,
156687,mscoco,a large pizza is in a cardboard box,64993,
25430,mscoco,"A bench overlooks a lush, green valley below.",95100,
251119,mscoco,"The lunchbox has a cold sandwich, strawberry yogurt and orange juice.",56460,
56768,mscoco,Two giraffes are in the grass by some rocks.,65830,
369647,mscoco,A man with a suit and tie about to speak,73832,
73009,mscoco,a man sits on a toilet in a bathroom.,70730,
93331,mscoco,A white toilet sitting next to a window in a bathroom.,10644,
467092,mscoco,A bus riding pass a tower with a crane attached to it.,54326,
172977,mscoco,A zebra chews a flower in a fenced in field.,10832,
97048,mscoco,Athlete on red clay court preparing to return ball.,93355,
57843,mscoco,some dessert is laying out on a yellow and white plate,30877,
327807,mscoco,A small group of people standing outside of a train next to  small shops selling fruit.,66594,
576607,mscoco,The lady is sitting on the wood bench.,52314,
319743,mscoco,A man in a chair holding a Wii remote.,64735,
404655,mscoco,The people are walking the the street and some are wearing ties.,12621,
453341,mscoco,The living room in a house with many figurines on the shelf,35371,
387506,mscoco,A sandy beach covered in umbrellas near the ocean.,1344,
92416,mscoco,A young man holding a bottle of beer while wearing a suit.,8045,
81103,mscoco,A man leans over his motorcycle and rests one hand on the leather seat.,80926,
531852,mscoco,Two guys holding wii remotes standing up playing.,98865,
231450,mscoco,A kitchen with a freezer refrigerator next to counters.,24863,
296426,mscoco,A very tall building with people walking around below it.,4559,
14600,mscoco,A picture painting on a wall of a man with an umbrella.,82493,
400046,mscoco,A couple of brown cows walking across a green field.,6989,
346089,mscoco,A  young girl slicing up a cake on a wooden table.,96219,
290093,mscoco,A young man is doing something in his small room.,64801,
434098,mscoco,"A tiled bathroom with a single vanity, toilet and shower.",40382,
522393,mscoco,two people in a wooden boat with sails on some water,22996,
262900,mscoco,A giraffe lowering its head to graze on some grass.,52014,
337011,mscoco,A bike parked in front of a store with a basket.,34337,
313166,mscoco,A man in a yellow and black ski suit skiing down a mountain.,64982,
393942,mscoco,A railroad crossing sign next to railroad tracks with someone walking on the tracks.,64057,
313916,mscoco,As two skiers make their way downhill a pair of skis are left vacant in the back.,7298,
387478,mscoco,There is a black and white photo of a cat behind a fence,63768,
230862,mscoco,A man sitting on a couch using a laptop.,39639,
293907,mscoco,A bright yellow railroad car on the tracks.,97419,
421889,mscoco,A muffin sitting on a plate with a fork while customers sit in the background.,40660,
502749,mscoco,A kitchen with a center island with wooden stools.,98358,
282871,mscoco,a number of benches next to a tree,56104,
232597,mscoco,An old man wearing a red tie and a black vest.,45692,
2759,mscoco,Two bowls filled with broccoli soup on top of a table.,43694,
449793,mscoco,The two traffic lights are placed on a pole on the road.,56741,
356967,mscoco,an elephant has face paint on walking around,74438,
256552,mscoco,A large pillar with a stop sign on top,25422,
181572,mscoco,A closeup of an old and mossy outdoor garden bench.,41856,
571059,mscoco,two people holding hands while on surfboards in the water,22270,
516143,mscoco,a green and white bus is on the street,75022,
205513,mscoco,A bowl filled with a cake topped with vegetables.,28781,
191964,mscoco,A cat stares forward over the corner of a keyboard.,84590,
240287,mscoco,A man with a beard standing on the beach with a surfboard under his right arm and he is looking out into the ocean.,81853,
569722,mscoco,"A floral plate with greens, carrots and potatoes.",47959,
494998,mscoco,A brown bear walking next to two small bears.,90381,
175212,mscoco,A bathroom with a low roof diagonally located above it,54291,
159044,mscoco,a surfer wearing a wet suit is surfing on a sunny day,36672,
519838,mscoco,A bicycle leaning up against a tree in a park.,86350,
558128,mscoco,A white walled bedroom has added flair with pastel quilted bedding.,26434,
464737,mscoco,A pack of zebra standing in a field next to an ostrich.,23847,
264940,mscoco,A fire hydrant is painted in a patriotic theme.,37431,
362941,mscoco,A man is standing next to a zebra with another man riding the zebra.,15646,
382438,mscoco,A large bathroom with a row of white sinks in it,26308,
547421,mscoco,Black and white photograph of dog walking and person on skateboard.,29461,
23411,mscoco,A group of zebras are standing in a field.,26634,
133645,mscoco,a small boat in a body of water,10673,
411187,mscoco,A small dog on a leach sitting near a window.,23884,
446354,mscoco,A pan of mini vegetables is being cooked on a stove.,64689,
382462,mscoco,A bunch of soccer players in uniform playing soccer.,91507,
62889,mscoco,Many sheep are inside a wire fence near a large hill.,36942,
363072,mscoco,this trains station has a white building in the background,82832,
410533,mscoco,a cat that is sitting in a sink,98041,
311385,mscoco,This Asian dish has both meat and broccoli,81599,
379580,mscoco,a bath room with a toilet a sink and stand up shower,50934,
290170,mscoco,A person is riding a small motorcycle in a parking lot.,38847,
201925,mscoco,A cake inside of a pan sitting in an oven.,23134,
538595,mscoco,a group of horses graze on some grass,8491,
486118,mscoco,"Some girls who are standing together, two of them have umbrellas.",69161,
263668,mscoco,A street sign surrounded by a crowd of people.,84090,
492349,mscoco,The small bird is perched on the branch of the tree.,94860,
93333,mscoco,A cowboy leads a cow through a paddock.,60264,
494731,mscoco,Black birds on a wood fence near the ocean.,10550,
539838,mscoco,A boat sitting on a beach next to an ocean.,49600,
226346,mscoco,Some clothing is being sold outside of a building.,58039,
77951,mscoco,"A plate with a slice of bread, green peppers and meat on it.",40094,
21994,mscoco,A large elephant standing on the side of a lake.,98029,
317254,mscoco,"Someone is on their motorcycle, in his gear.",11258,
420466,mscoco,A giraffe out in the wild on a cloudy day,96973,
30478,mscoco,A train in a trainstation with many people nearby.,44450,
441247,mscoco,A woman standing in a kitchen next to a table.,44415,
457943,mscoco,A dog carrying a Frisbee at a dog competition.,88796,
12471,mscoco,That small plane looks like it is ready for takeoff.,6885,
