case_number,source,prompt,evaluation_seed,celebrity
22500,mscoco,A brown horse looking out of a window in his stall.,72814,
22501,mscoco,The dog is hanging out of the window.,67512,
22502,mscoco,A zebra walks next to a chain linked fence.,65341,
22503,mscoco,A man smiles maniacly while putting a dog into an oven.,73965,
22504,mscoco,A small dog lies on a pillow near a toy banana.,72539,
22505,mscoco,"Two boys riding skateboards in the street, behind tree branches.",27941,
22506,mscoco,Two brown ponies in grassy field next to a fence.,93676,
22507,mscoco,Sliced bananas sit on top of a pastry dish on a plate.,68429,
22508,mscoco,White bowl full of chopped carrots and broccoli.,13694,
22509,mscoco,Two men on skis racing cross country in front of a crowd.,90867,
22510,mscoco,A scared boy holding a baseball glove out towards a baseball.,5731,
22511,mscoco,A man wearing shorts is running through the woods playing frisbee golf.,9102,
22512,mscoco,a large group of horse with men riding on a few of them,63030,
22513,mscoco,Black and white image of baseball player about to throw the ball.,18973,
22514,mscoco,A couple of polar bears in a snowy field.,92368,
22515,mscoco,A little boy is all grins as he is shown a toad sitting on a Frisbee.,9661,
22516,mscoco,Riding a horse through a field at dusk.,21245,
22517,mscoco,Woman skier taking a break and enjoying a snack,91596,
22518,mscoco,A person is riding a skateboard in a tennis court.,66748,
22519,mscoco,A woman is preparing food as two young boys stand by and watch.,76464,
22520,mscoco,There is no image here to provide a caption for.,30433,
22521,mscoco,A bunch of bananas are sitting in a glass server.,70824,
22522,mscoco,A guy stops himself from falling off of his skateboard.,27331,
22523,mscoco,Close-up of green bananas still on the stalk,5943,
22524,mscoco,a kid with two bananas on each side of his head,24036,
22525,mscoco,A man with a skateboard is talking to a man in a hat.,7264,
22526,mscoco,A couple of sliced pizzas on a table.,29241,
22527,mscoco,Many different foods on dishes on a table,60119,
22528,mscoco,A produce stand with many fruits and vegetables,5711,
22529,mscoco,A bowl of soup with broccoli and brown beans.,73871,
22530,mscoco,there is a lap top on a table with many bananas around it,12009,
22531,mscoco,A man is trying to catch a red Frisbee.,11485,
22532,mscoco,A toothbrush in a the toothpaste section of a toothbrush holder.,72921,
22533,mscoco,Two zebra standing next to each other on a  hillside.,48642,
22534,mscoco,A man flying through the air while riding a skateboard.,16127,
22535,mscoco,Woman with a backpack on sits on the curb moving her skateboard,90106,
22536,mscoco,Two men standing next to each other on top of a field.,50657,
22537,mscoco,A baseball player wearing a catchers mitt on top of a baseball field.,40183,
22538,mscoco,A horse eating grass from a grassy field.,87685,
22539,mscoco,a close up of a plate of broccoli and sauce,69344,
22540,mscoco,A snow man has lemons for eyes and a carrot for a nose.,58253,
22541,mscoco,A white bowl filled with rice and vegetables.,89579,
22542,mscoco,A boy has one foot on the skateboard and another on the ground.,31855,
22543,mscoco,a carousel horse has a rose in its mane,27811,
22544,mscoco,A wooden desk topped with a desktop monitor.,83329,
22545,mscoco,A person on skis is in the air.,7529,
22546,mscoco,an assortment of cooking utensils including a measuring cup and scissors,22790,
22547,mscoco,A boy is riding his skateboard by some art.,34879,
22548,mscoco,Some skiers are going down a snow covered hill.,20170,
22549,mscoco,A person in black jacket on skis standing on slope.,89718,
22550,mscoco,A person cutting up a piece of fruit with a knife.,37139,
