case_number,source,prompt,evaluation_seed,celebrity
493797,mscoco,A dog sitting on the side of an area where boats are docked in the water.,18660,
100428,mscoco,A man is grabbing the tie of another person that appears in the mirror.,71303,
223816,mscoco,One brown cow sitting on top of the rocky ground.,24208,
231758,mscoco,A group of colorful cows laying inside of a barn.,35435,
171443,mscoco,A man standing on the beach playing frisbee,8355,
367468,mscoco,a large white cat laying next to a closet and black shoes,7575,
494320,mscoco,a black and white photo of a old stream train,28548,
7666,mscoco,The blue train is passing through a wooded area.,57825,
180283,mscoco,A man adjusting his neck tie while wearing a vest.,53805,
274219,mscoco,An older man with a bow tie happily poses for a picture.,96940,
452461,mscoco,A couple of trains traveling down the tracks.,42073,
375881,mscoco,A young child wearing a paper yellow tie.,65749,
42421,mscoco,A white cat standing next to a cluster of palm trees.,4400,
236784,mscoco,two dogs laying down on a brown couch,64656,
206362,mscoco,A large elephant walking through a lush forest hillside.,30691,
306415,mscoco,A group of men standing next to each other.,12746,
120099,mscoco,A man sitting at a table with lots of items on it.,45528,
511321,mscoco,there are two large boats that are in the water,31644,
383518,mscoco,Three men on a kayak paddling on a body of water.,69970,
306412,mscoco,A woman is standing next to a wall with a blue umbrella.,26305,
182683,mscoco,A black and white cat is sitting looking out a window.,45014,
341094,mscoco,A statue of a large brown bear tearing off a cars door.,92840,
414560,mscoco,there are many cows that are laying in this barn,30198,
419386,mscoco,A woman holding a small child that is trying to pet a cow.,27344,
477025,mscoco,a man in glasses and a tie is smiling,77103,
93089,mscoco,A photographer is setting up his lighting equipment.,72400,
353970,mscoco,a cat sitting in a chair looking up,81620,
343914,mscoco,"A baby that is pressing on a small, black suitcase.",45983,
212761,mscoco,A group of people walking down a wet sidewalk.,64264,
419051,mscoco,a cat is standing inside of a bathroom sink,7948,
512785,mscoco,a few chairs sitting under an umbrella on the beach,11263,
137479,mscoco,A couple of people walking behind a stop sign near bushes.,28848,
122213,mscoco,A kitty cat standing on a sink playing with a mirror.,34482,
580796,mscoco,a bunch of elephants moving down the road,19661,
395633,mscoco,A red and black boat floating on top of water.,87852,
532773,mscoco,"An old, run down truck that is rusted and parked in a grassy area.",89518,
149165,mscoco,A group of men washing a baby elephant in a river.,96392,
449638,mscoco,A group of people riding bikes down a street.,83264,
433714,mscoco,Two people riding on the back of an elephant through a lake.,27829,
454577,mscoco,An animal standing on top of a lush green field.,23133,
192620,mscoco,there are many trucks that are going down the freeway,82787,
461410,mscoco,A cat laying on top of a white bed on a pillow.,50106,
197111,mscoco,Two cats are lying next to each other with heads on a pillow.,66388,
297604,mscoco,A man is on top of an elephant in a river.,31533,
